morph_number_nu,sample_nu
1,20
1,96
1,48
1,29
1,30
1,166
1,15
1,10
1,27
1,13
1,18
1,23
1,555
1,66
2,96.5
2,11
2,21.5
2,22
2,102.5
2,13.5
2,18.5
2,22.5
3,17.66666667
3,34
3,68
3,15
4,20.25
4,15.75
4,28
4,30
5,11
6,5.833333333
6,14
6,16.5
7,15.71428571
7,2.571428571
7,16.14285714
8,3.375
9,20.44444444
10,14.7
10,5.5
11,13.63636364
11,19.63636364
15,8.333333333
