morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
1,3,1,2
1,4,1,2
1,6,1,2
1,4,1,3
1,7,2,2
1,2,2,3
2,3.25,2,1.5
2,2.5,2,4.5
2,1,2,3.42
2,2.5,2,1
2,3,3,2.33
2,3.5,3,1.67
2,3.5,3,1.67
2,1.5,3,1.67
3,1,3,2
3,1.333333333,3,2.08
3,2.666666667,3,2
3,2,3,2.28
4,2,3,3.54
5,1.566,4,7.75
5,1.8,4,1
6,0.666666667,4,2.25
6,1.17,4,3.25
16,1.9375,5,5.8
,,6,1.33
,,6,1.67
