morph_number_nu,sample_nu
1,31
1,345
1,94
1,71
1,50
1,71
2,33.5
2,42.5
2,50.5
2,20
2,48.5
2,40.5
2,59
2,41
3,13.33
3,18.67
3,111.67
3,53.33
4,55.75
5,37.8
5,17.8
6,32.67
6,32.17
16,20
