morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
2,3.25,2,2
2,2.5,2,3
2,1,2,1.5
2,2.5,2,4.5
2,3,2,3.415
2,3.5,2,1
2,3.5,3,2.333333333
2,1.5,3,1.666666667
3,1,3,1.666666667
3,1.333333333,3,1.666666667
3,2.666666667,3,2
3,2,3,2.083333333
4,2,3,2
5,1.566,3,2.283333333
5,1.8,3,3.541666667
6,0.666666667,4,7.75
6,1.166666667,4,1
16,1.9375,4,2.25
,,4,3.25
,,5,5.8
,,6,1.333333333
,,6,1.666666667
