morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
2,3,2,2
2,1.5,2,2.5
2,1,2,1
2,2,2,1
2,4.5,2,1
3,0.933333333,2,2
3,2,3,1.666666667
6,1.666666667,3,1
6,1.916666667,3,3.333333333
6,1.3,4,1.5
7,0.857142857,4,1.75
8,1.125,6,1.278333333
9,0.222222222,6,1.833333333
9,1.555555556,6,2
11,1.818181818,7,1.857142857
13,0.692307692,8,1.125
14,1.357142857,13,0.692307692
