morph_number_nu,sample_nu
2,33.5
2,42.5
2,50.5
2,20
2,48.5
2,40.5
2,59
2,41
3,13.33333333
3,18.66666667
3,111.6666667
3,53.33333333
4,55.75
5,37.8
5,17.8
6,32.66666667
6,32.16666667
16,20
