morph_number_nu,sample_nu
2,45
2,42
2,228
2,17
2,16.5
3,18.66666667
3,76.33333333
6,46.66666667
6,12.16666667
6,17
7,31
8,11.5
9,12.55555556
9,15.44444444
11,13.81818182
13,79.53846154
14,28.14285714
