morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
2,1.5,2,2.5
2,1.5,2,2.5
2,1.5,2,2.5
2,2.5,2,4
2,2.5,2,1
2,3,2,1.5
2,1,2,1
2,1.5,2,1.5
2,2,2,3
2,2,2,6.5
2,2.5,3,1.333333333
3,1,3,1.666666667
3,2.333333333,3,2.333333333
3,1,4,1
4,1,4,1.25
4,1.625,4,2
5,1.4,4,2.25
,,5,1.4
,,5,3.8
,,8,2.8125
,,16,2.25
